"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count"
"1","-1","MF","GO:0022836","gated channel activity","63/1157","268/14653",1.66113948380522e-15,1.45183590884576e-12,1.25022603254814e-12,63
"2","-1","MF","GO:0005216","ion channel activity","73/1157","348/14653",5.88119176210901e-15,2.57008080004164e-12,2.21318532100418e-12,73
"3","-1","MF","GO:0022890","inorganic cation transmembrane transporter activity","86/1157","453/14653",1.04401772777551e-14,3.04157164691933e-12,2.61920236968243e-12,86
"4","-1","MF","GO:0044325","transmembrane transporter binding","41/1157","135/14653",1.62238368769939e-14,3.54490835762316e-12,3.05264299132911e-12,41
"5","-1","MF","GO:0015267","channel activity","73/1157","373/14653",2.42610270780545e-13,3.53402294436994e-11,3.04326918610684e-11,73
"6","-1","MF","GO:0022803","passive transmembrane transporter activity","73/1157","373/14653",2.42610270780545e-13,3.53402294436994e-11,3.04326918610684e-11,73
"7","-1","MF","GO:0005261","cation channel activity","59/1157","274/14653",7.80399842046786e-13,8.58327804961759e-11,7.39135710643933e-11,59
"8","-1","MF","GO:0008324","cation transmembrane transporter activity","87/1157","496/14653",7.85654741383761e-13,8.58327804961759e-11,7.39135710643933e-11,87
"9","-1","MF","GO:0030165","PDZ domain binding","33/1157","115/14653",3.3132367544731e-11,3.21752102601054e-09,2.77071845549505e-09,33
"10","-1","MF","GO:0005516","calmodulin binding","41/1157","170/14653",6.33497677954320e-11,5.36680539002312e-09,4.62154143546493e-09,41
"11","-1","MF","GO:0099529","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","21/1157","51/14653",6.75456055952566e-11,5.36680539002312e-09,4.62154143546493e-09,21
"12","-1","MF","GO:1904315","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","20/1157","48/14653",1.48753127295339e-10,1.03375626548091e-08,8.9020321548699e-09,20
"13","-1","MF","GO:0098960","postsynaptic neurotransmitter receptor activity","23/1157","63/14653",1.53762373584117e-10,1.03375626548091e-08,8.9020321548699e-09,23
"14","-1","MF","GO:0022824","transmitter-gated ion channel activity","20/1157","49/14653",2.32812295276219e-10,1.3565196404761e-08,1.16814590261401e-08,20
"15","-1","MF","GO:0022835","transmitter-gated channel activity","20/1157","49/14653",2.32812295276219e-10,1.3565196404761e-08,1.16814590261401e-08,20
"16","-1","MF","GO:0016247","channel regulator activity","33/1157","126/14653",4.7124406035995e-10,2.57417067971623e-08,2.21670725761424e-08,33
"17","-1","MF","GO:0005244","voltage-gated ion channel activity","39/1157","168/14653",6.18188058249268e-10,3.17821389946976e-08,2.73686973156797e-08,39
"18","-1","MF","GO:0022832","voltage-gated channel activity","39/1157","169/14653",7.43705541722175e-10,3.61110357480656e-08,3.10964597854594e-08,39
"19","-1","MF","GO:0099106","ion channel regulator activity","31/1157","117/14653",1.15954884409001e-09,5.27878409251156e-08,4.54574325682978e-08,31
"20","-1","MF","GO:0046873","metal ion transmembrane transporter activity","60/1157","334/14653",1.20795974657015e-09,5.27878409251156e-08,4.54574325682978e-08,60
"21","-1","MF","GO:0022843","voltage-gated cation channel activity","32/1157","128/14653",3.04690037033089e-09,1.26809091603295e-07,1.09199687457974e-07,32
"22","-1","MF","GO:0005230","extracellular ligand-gated ion channel activity","20/1157","57/14653",5.40232643241896e-09,2.14619695542462e-07,1.84816430582754e-07,20
"23","-1","MF","GO:0030594","neurotransmitter receptor activity","24/1157","80/14653",5.98442103332400e-09,2.27407999266312e-07,1.95828880495499e-07,24
"24","-1","MF","GO:0000149","SNARE binding","29/1157","113/14653",8.76252157986117e-09,3.19101827533278e-07,2.74789602175471e-07,29
"25","-1","MF","GO:0008066","glutamate receptor activity","13/1157","25/14653",9.1930244023317e-09,3.21388133105516e-07,2.76758418849144e-07,13
"26","-1","MF","GO:0017075","syntaxin-1 binding","12/1157","23/14653",3.30983567046556e-08,1.11261399076419e-06,9.58110325661083e-07,12
"27","-1","MF","GO:0019829","ATPase-coupled cation transmembrane transporter activity","16/1157","42/14653",4.79094266010349e-08,1.55084588330758e-06,1.33548694034074e-06,16
"28","-1","MF","GO:0015276","ligand-gated ion channel activity","27/1157","108/14653",5.15407952186672e-08,1.60880910789697e-06,1.38540107448673e-06,27
"29","-1","MF","GO:0042625","ATPase-coupled ion transmembrane transporter activity","9/1157","13/14653",6.1876342494328e-08,1.74451365613041e-06,1.50226094680626e-06,9
"30","-1","MF","GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism","9/1157","13/14653",6.1876342494328e-08,1.74451365613041e-06,1.50226094680626e-06,9
"31","-1","MF","GO:0046961","proton-transporting ATPase activity, rotational mechanism","9/1157","13/14653",6.1876342494328e-08,1.74451365613041e-06,1.50226094680626e-06,9
"32","-1","MF","GO:0022834","ligand-gated channel activity","27/1157","110/14653",7.7839750537054e-08,2.12599818654329e-06,1.83077044848663e-06,27
"33","-1","MF","GO:0098918","structural constituent of synapse","13/1157","29/14653",8.88947784145797e-08,2.35436473740432e-06,2.02742477085883e-06,13
"34","-1","MF","GO:0009678","pyrophosphate hydrolysis-driven proton transmembrane transporter activity","10/1157","17/14653",1.05480865124771e-07,2.71147870938381e-06,2.33494794316443e-06,10
"35","-1","MF","GO:0015079","potassium ion transmembrane transporter activity","29/1157","128/14653",1.6913085703538e-07,4.22343911568348e-06,3.63694925655027e-06,29
"36","-1","MF","GO:0019905","syntaxin binding","21/1157","75/14653",1.97574473012129e-07,4.79666915035002e-06,4.13057743285591e-06,21
"37","-1","MF","GO:0016917","GABA receptor activity","10/1157","18/14653",2.20502303908166e-07,5.20862198961451e-06,4.48532424734961e-06,10
"38","-1","MF","GO:0019894","kinesin binding","16/1157","51/14653",1.04527955516999e-06,2.40414297689099e-05,2.07029053170789e-05,16
"39","-1","MF","GO:0015078","proton transmembrane transporter activity","22/1157","90/14653",1.32189112045195e-06,2.96239189557693e-05,2.55101795174937e-05,22
"40","-1","MF","GO:0050811","GABA receptor binding","9/1157","17/14653",1.57190401672213e-06,3.43461027653785e-05,2.95766150514821e-05,9
"41","-1","MF","GO:0030507","spectrin binding","12/1157","31/14653",1.9044426259856e-06,4.05971428075955e-05,3.49596014782979e-05,12
"42","-1","MF","GO:0005246","calcium channel regulator activity","13/1157","37/14653",2.56603642610041e-06,5.33979961050419e-05,4.59828582622004e-05,13
"43","-1","MF","GO:0004970","ionotropic glutamate receptor activity","9/1157","18/14653",2.9233057295361e-06,5.94178885491756e-05,5.11667955108521e-05,9
"44","-1","MF","GO:0015399","primary active transmembrane transporter activity","27/1157","132/14653",3.68382307382156e-06,7.31741219663646e-05,6.30127631048425e-05,27
"45","-1","MF","GO:0005267","potassium channel activity","23/1157","104/14653",4.84806948378301e-06,9.41602828628079e-05,8.10846708983592e-05,23
"46","-1","MF","GO:0004890","GABA-A receptor activity","8/1157","15/14653",5.74043310616149e-06,0.000109068229017068,9.39224180985233e-05,8
"47","-1","MF","GO:0005251","delayed rectifier potassium channel activity","10/1157","25/14653",9.85680471301576e-06,0.00018329462381225,0.000157841329670913,10
"48","-1","MF","GO:0022851","GABA-gated chloride ion channel activity","7/1157","12/14653",1.04495014122272e-05,0.000190268004880971,0.000163846348897861,7
"49","-1","MF","GO:0035254","glutamate receptor binding","17/1157","68/14653",1.50850035097947e-05,0.000269067205460419,0.00023170306142864,17
"50","-1","MF","GO:0030276","clathrin binding","16/1157","63/14653",2.16099818541763e-05,0.000377742482811001,0.000325287095278653,16
"51","1","MF","GO:0140375","immune receptor activity","60/2071","96/14653",8.32443947181053e-28,8.09135516659984e-25,6.42296224509171e-25,60
"52","1","MF","GO:0004896","cytokine receptor activity","44/2071","74/14653",1.62796353210331e-19,7.91190276602209e-17,6.28051194227225e-17,44
"53","1","MF","GO:0005178","integrin binding","59/2071","134/14653",3.69788086060779e-17,1.19811339883693e-14,9.51069007307197e-15,59
"54","1","MF","GO:0019955","cytokine binding","55/2071","121/14653",7.63789765021141e-17,1.79149692219487e-14,1.42210011259351e-14,55
"55","1","MF","GO:0005126","cytokine receptor binding","74/2071","195/14653",9.21551914709297e-17,1.79149692219487e-14,1.42210011259351e-14,74
"56","1","MF","GO:0003823","antigen binding","28/2071","42/14653",9.58750890091166e-15,1.55317644194769e-12,1.23292000427513e-12,28
"57","1","MF","GO:0023023","MHC protein complex binding","17/2071","19/14653",4.35779653848746e-13,6.05111176487117e-11,4.80340580858844e-11,17
"58","1","MF","GO:0050839","cell adhesion molecule binding","83/2071","273/14653",2.4961836425113e-12,3.03286312565123e-10,2.40750343415893e-10,83
"59","1","MF","GO:0061134","peptidase regulator activity","56/2071","153/14653",2.87778333392753e-12,3.10800600064173e-10,2.46715226171799e-10,56
"60","1","MF","GO:0038187","pattern recognition receptor activity","17/2071","22/14653",4.38310040367795e-11,3.87306690215906e-09,3.07446181425449e-09,17
"61","1","MF","GO:0042605","peptide antigen binding","17/2071","22/14653",4.38310040367795e-11,3.87306690215906e-09,3.07446181425449e-09,17
"62","1","MF","GO:0023026","MHC class II protein complex binding","12/2071","12/14653",6.18205945977037e-11,5.007468162414e-09,3.97495577544884e-09,12
"63","1","MF","GO:0042287","MHC protein binding","22/2071","37/14653",1.99575731853567e-10,1.49221239508975e-08,1.18452640849121e-08,22
"64","1","MF","GO:0003779","actin binding","101/2071","388/14653",2.89956994741978e-10,2.01312999206574e-08,1.5980336627509e-08,101
"65","1","MF","GO:0042608","T cell receptor binding","15/2071","19/14653",3.78586938618571e-10,2.45324336224834e-08,1.947398077245e-08,15
"66","1","MF","GO:0061135","endopeptidase regulator activity","44/2071","121/14653",7.77903933932545e-10,4.72576639864021e-08,3.75133936560892e-08,44
"67","1","MF","GO:0005201","extracellular matrix structural constituent","44/2071","122/14653",1.05212515142477e-09,6.01568027755807e-08,4.77528009903624e-08,44
"68","1","MF","GO:0030881","beta-2-microglobulin binding","12/2071","14/14653",4.26041235898432e-09,2.17953726996461e-07,1.73012867542133e-07,12
"69","1","MF","GO:0046979","TAP2 binding","12/2071","14/14653",4.26041235898432e-09,2.17953726996461e-07,1.73012867542133e-07,12
"70","1","MF","GO:0046703","natural killer cell lectin-like receptor binding","13/2071","17/14653",1.18328294057342e-08,5.75075509118683e-07,4.56498102863326e-07,13
