ensembl,gene,new_clumn
ENSMUSG00000001995,Sipa1l2,LS_In.C
ENSMUSG00000004677,Myo9b,LS_In.C
ENSMUSG00000022462,Slc38a2,LS_In.C
ENSMUSG00000025006,Sorbs1,LS_In.C
ENSMUSG00000030671,Pde3b,LS_In.C
ENSMUSG00000033335,Dnm2,LS_In.C
ENSMUSG00000034707,Gns,LS_In.C
ENSMUSG00000035158,Mitf,LS_In.C
ENSMUSG00000042228,Lyn,LS_In.C
ENSMUSG00000055435,Maf,LS_In.C
ENSMUSG00000036381,P2ry14,LS_In.D
ENSMUSG00000085208,Brip1os,LS_In.D
ENSMUSG00000022443,Myh9,LS_In.M
ENSMUSG00000036381,P2ry14,LS_In.M
ENSMUSG00000061436,Hipk2,LS_In.M
ENSMUSG00000055435,Maf,LS_In.N
ENSMUSG00000042228,Lyn,LS_In.O
ENSMUSG00000004677,Myo9b,LS_In.P
ENSMUSG00000022443,Myh9,LS_In.P
ENSMUSG00000030671,Pde3b,LS_In.P
ENSMUSG00000034707,Gns,LS_In.P
ENSMUSG00000036353,P2ry12,LS_In.P
ENSMUSG00000036381,P2ry14,LS_In.P
ENSMUSG00000022443,Myh9,LS_In.Q
ENSMUSG00000022443,Myh9,LS_In.R
ENSMUSG00000030671,Pde3b,LS_In.R
ENSMUSG00000031328,Flna,LS_In.R
ENSMUSG00000030536,Iqgap1,MS_In.J
ENSMUSG00000004677,Myo9b,MS_In.K
ENSMUSG00000022462,Slc38a2,MS_In.K
ENSMUSG00000025809,Itgb1,MS_In.K
ENSMUSG00000036381,P2ry14,MS_In.K
ENSMUSG00000085208,Brip1os,MS_In.K
ENSMUSG00000022108,Itm2b,Sept_In.G
ENSMUSG00000033335,Dnm2,Sept_In.G
ENSMUSG00000043336,Filip1l,Sept_In.G
ENSMUSG00000062078,Qki,Sept_In.G
ENSMUSG00000022462,Slc38a2,Sept_In.I
ENSMUSG00000036381,P2ry14,Sept_In.I
ENSMUSG00000022462,Slc38a2,TNoS_Ex.A
ENSMUSG00000030064,Frmd4b,TNoS_Ex.A
ENSMUSG00000036381,P2ry14,TNoS_Ex.A
ENSMUSG00000004677,Myo9b,TT.IG.SH_Ex.C
ENSMUSG00000025809,Itgb1,TT.IG.SH_Ex.C
ENSMUSG00000030536,Iqgap1,TT.IG.SH_Ex.C
ENSMUSG00000030671,Pde3b,TT.IG.SH_Ex.C
ENSMUSG00000035158,Mitf,TT.IG.SH_Ex.C
ENSMUSG00000036381,P2ry14,TT.IG.SH_Ex.C
ENSMUSG00000042228,Lyn,TT.IG.SH_Ex.C
ENSMUSG00000021998,Lcp1,TT.IG.SH_Ex.E
ENSMUSG00000030671,Pde3b,TT.IG.SH_Ex.E
ENSMUSG00000057058,Skap1,TT.IG.SH_Ex.E
ENSMUSG00000004677,Myo9b,TT.IG.SH_Ex.F
ENSMUSG00000030536,Iqgap1,TT.IG.SH_Ex.F
ENSMUSG00000036381,P2ry14,TT.IG.SH_Ex.F
