Cluster,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue
-1,BP,GO:0050804,modulation of chemical synaptic transmission,103/1185,360/14849,7.12629437541516e-32,1.5998530872807e-28,1.40950601383211e-28
-1,BP,GO:0099177,regulation of trans-synaptic signaling,103/1185,360/14849,7.12629437541516e-32,1.5998530872807e-28,1.40950601383211e-28
-1,BP,GO:0048167,regulation of synaptic plasticity,63/1185,196/14849,7.8377511377883e-23,1.17305008695565e-19,1.03348311494065e-19
-1,BP,GO:0007409,axonogenesis,90/1185,417/14849,1.00556052969506e-18,1.12874169458271e-15,9.94446439630012e-16
-1,BP,GO:0050808,synapse organization,76/1185,320/14849,1.82632444495772e-18,1.22426662875381e-15,1.07860602294147e-15
-1,BP,GO:0099003,vesicle-mediated transport in synapse,46/1185,133/14849,1.92963590669627e-18,1.22426662875381e-15,1.07860602294147e-15
-1,BP,GO:0007269,neurotransmitter secretion,45/1185,128/14849,2.18132138753463e-18,1.22426662875381e-15,1.07860602294147e-15
-1,BP,GO:0099643,signal release from synapse,45/1185,128/14849,2.18132138753463e-18,1.22426662875381e-15,1.07860602294147e-15
-1,BP,GO:0061564,axon development,93/1185,449/14849,4.62681842414369e-18,2.30826830271169e-15,2.03363551320842e-15
-1,BP,GO:0097479,synaptic vesicle localization,43/1185,123/14849,1.59192341010046e-17,6.86840675145493e-15,6.05121851411736e-15
-1,BP,GO:0099531,presynaptic process involved in chemical synaptic transmission,45/1185,134/14849,1.68268316850789e-17,6.86840675145493e-15,6.05121851411736e-15
-1,BP,GO:0048489,synaptic vesicle transport,41/1185,114/14849,2.79415410418013e-17,9.65057840597597e-15,8.50237337935944e-15
-1,BP,GO:0097480,establishment of synaptic vesicle localization,41/1185,114/14849,2.79415410418013e-17,9.65057840597597e-15,8.50237337935944e-15
-1,BP,GO:0051650,establishment of vesicle localization,52/1185,180/14849,8.13001567062531e-17,2.60741216865055e-14,2.29718788648195e-14
-1,BP,GO:0042391,regulation of membrane potential,82/1185,388/14849,1.38883878578356e-16,4.15725743211212e-14,3.66263589963131e-14
-1,BP,GO:0051648,vesicle localization,54/1185,195/14849,1.58708260118004e-16,4.45375054956147e-14,3.92385290475959e-14
-1,BP,GO:0006836,neurotransmitter transport,57/1185,219/14849,4.87596784770901e-16,1.28782915507138e-13,1.13460601682294e-13
-1,BP,GO:0050806,positive regulation of synaptic transmission,49/1185,173/14849,1.52340682384509e-15,3.60005086266551e-13,3.17172456731848e-13
-1,BP,GO:0050807,regulation of synapse organization,49/1185,173/14849,1.52340682384509e-15,3.60005086266551e-13,3.17172456731848e-13
-1,BP,GO:0048813,dendrite morphogenesis,47/1185,163/14849,2.72326404539294e-15,6.11372778190714e-13,5.38632962241403e-13
-1,BP,GO:0099504,synaptic vesicle cycle,41/1185,128/14849,2.99408936610149e-15,6.40164821609318e-13,5.63999390366386e-13
-1,BP,GO:0050803,regulation of synapse structure or activity,50/1185,185/14849,6.18594604308443e-15,1.26249535152041e-12,1.1122863746369e-12
-1,BP,GO:0016358,dendrite development,62/1185,268/14849,1.02598640453122e-14,2.00290389406312e-12,1.76460270399465e-12
-1,BP,GO:0060078,regulation of postsynaptic membrane potential,34/1185,96/14849,2.47435789187366e-14,4.62911122271365e-12,4.07834954283387e-12
-1,BP,GO:0015672,monovalent inorganic cation transport,74/1185,365/14849,4.35780093612172e-14,7.82661048127462e-12,6.89541722860861e-12
-1,BP,GO:0010769,regulation of cell morphogenesis involved in differentiation,65/1185,305/14849,1.43631338804145e-13,2.39738654043334e-11,2.11215065501078e-11
-1,BP,GO:0016079,synaptic vesicle exocytosis,30/1185,80/14849,1.44163555883519e-13,2.39738654043334e-11,2.11215065501078e-11
-1,BP,GO:0034762,regulation of transmembrane transport,85/1185,461/14849,1.55009978596575e-13,2.48569572820937e-11,2.18995300588695e-11
-1,BP,GO:0017156,calcium ion regulated exocytosis,35/1185,109/14849,2.96636034685637e-13,4.59274412323624e-11,4.04630932249954e-11
-1,BP,GO:0006887,exocytosis,63/1185,298/14849,5.0276552687507e-13,7.30481176768416e-11,6.43570100174823e-11
-1,BP,GO:0099565,chemical synaptic transmission, postsynaptic,32/1185,94/14849,5.0434112427218e-13,7.30481176768416e-11,6.43570100174823e-11
-1,BP,GO:0051963,regulation of synapse assembly,31/1185,89/14849,5.77163691578786e-13,8.09832804746484e-11,7.13480642418775e-11
-1,BP,GO:0007611,learning or memory,56/1185,248/14849,5.97043369111958e-13,8.12340826458391e-11,7.15690265110921e-11
-1,BP,GO:0048168,regulation of neuronal synaptic plasticity,26/1185,64/14849,6.77464533644693e-13,8.94651692960198e-11,7.88207962054723e-11
-1,BP,GO:0023061,signal release,75/1185,396/14849,1.10889851250152e-12,1.39155466083571e-10,1.22599048538755e-10
-1,BP,GO:0048814,regulation of dendrite morphogenesis,33/1185,102/14849,1.11572311336493e-12,1.39155466083571e-10,1.22599048538755e-10
-1,BP,GO:0034765,regulation of ion transmembrane transport,73/1185,382/14849,1.42170239933368e-12,1.71655297819108e-10,1.51232120315135e-10
-1,BP,GO:0050890,cognition,59/1185,275/14849,1.4527619859969e-12,1.71655297819108e-10,1.51232120315135e-10
-1,BP,GO:0045055,regulated exocytosis,45/1185,178/14849,1.84881776390021e-12,2.12851070766973e-10,1.87526508953765e-10
-1,BP,GO:0007612,learning,40/1185,146/14849,2.0013820093357e-12,2.24655130547933e-10,1.97926147133778e-10
-1,BP,GO:0007416,synapse assembly,40/1185,149/14849,4.07028351916754e-12,4.45745682952738e-10,3.92711821952032e-10
-1,BP,GO:0051965,positive regulation of synapse assembly,27/1185,75/14849,7.38090909795405e-12,7.89054329757469e-10,6.95174345616825e-10
-1,BP,GO:0051656,establishment of organelle localization,70/1185,371/14849,7.72957168426429e-12,8.07111089822016e-10,7.11082751272098e-10
